S_OBJECTID,S_STATIONID,S_NAME_E,S_LAT,S_LON,E_STATIONID,E_STATIONID,E_NAME_E,E_LAT,E_LON
1,AT1,ANG THONG1,14.5866,100.46714,,,,,
2,AT2,ANG THONG 2,14.61132,100.34506,,,,,
3,AP,AO PHAI,13.12727,100.9264,,,,,
4,AU,AO UDOM,13.11533,100.91085,,,,,
5,AY1,AYUTTHAYA 1,14.3644,100.55282,,,,,
6,AY2,AYUTTHAYA 2,14.38217,100.60364,,,,,
7,BBG,BAN BUNG,13.21838,101.22275,,,,,
8,BP1,BAN PONG 1,13.79082,99.95901,,,,,
9,BP2,BAN PONG 2,13.8522,99.86985,,,,,
10,BK,BANG KAPI,13.74222,100.60143,,,,,
11,BL,BANG LAMUNG,12.93923,100.92474,,,,,
12,BI1,BANG PA-IN 1,14.21246,100.5867,,,,,
13,BI2,BANG PA-IN 2,14.19774,100.61031,,,,,
14,BPK,BANG PAKONG,13.5028,101.02527,,,,,
15,BPL,BANG PHLI,13.64056,100.68976,,,,,
16,BSP1,BANG SAPHAN1,11.40516,99.50743,,,,,
17,BSP2,BANG SAPHAN2,11.42238,99.51142,,,,,
18,BN,BANGKOK NOI,13.70972,100.3909,,,,,
19,BWN,BO WIN,13.07589,101.07277,,,,,
20,CA,CHA-AM,12.81562,99.95736,,,,,
21,CC,CHACHOENGSAO,13.62557,101.03332,,,,,
22,CHW,CHAENG WATTHANA,13.90888,100.55532,,,,,
23,CBD,CHAI BADAN,15.206,101.10385,,,,,
24,CBG,CHOM BUNG,13.63861,99.66933,,,,,
25,CTN,CHOM THIEN,12.85896,100.92168,,,,,
26,CB,CHON BURI,13.33948,100.99139,,,,,
27,HH,HUA HIN,12.57036,99.91875,,,,,
28,KKC,KAENG KRACHAN,12.91588,99.63073,,,,,
29,KS,KAMPHAENG SAEN,13.98831,99.99484,,,,,
30,KB,KANCHANABURI,14.02496,99.54156,,,,,
31,KHL,KHAO LAEM,14.79572,98.59778,,,,,
32,KLM,KHLONG MAI,13.57363,100.99666,,,,,
33,KLA,KLAENG,12.80758,101.66715,,,,,
34,LPR,LAT PHRAO,13.82777,100.5531,,,,,
35,LB1,LOP BURI 1,14.79159,100.65169,,,,,
36,LB2,LOP BURI 2,14.84908,100.62391,,,,,
37,NCS,NAKHON CHAISI,13.75027,100.1887,,,,,
